MODE, N, BUBBLE, QUICK, MERGE, HEAP, INSERTION, COUNTING
ORDERED, 4000, 0.0, 1.1920928955078125e-06, 9.5367431640625e-07, 9.5367431640625e-07, 0.0, 6.175041198730469e-05
ORDERED, 5000, 9.5367431640625e-07, 9.5367431640625e-07, 2.1457672119140625e-06, 7.152557373046875e-07, 1.1920928955078125e-06, 9.298324584960938e-05
ORDERED, 6000, 7.152557373046875e-07, 2.1457672119140625e-06, 9.5367431640625e-07, 1.1920928955078125e-06, 9.5367431640625e-07, 0.00011014938354492188
ORDERED, 7000, 9.5367431640625e-07, 9.5367431640625e-07, 1.9073486328125e-06, 2.1457672119140625e-06, 0.0, 0.0001418590545654297
ORDERED, 8000, 9.5367431640625e-07, 2.1457672119140625e-06, 1.9073486328125e-06, 2.1457672119140625e-06, 7.152557373046875e-07, 0.0001609325408935547
ORDERED, 9000, 9.5367431640625e-07, 2.1457672119140625e-06, 3.0994415283203125e-06, 2.6226043701171875e-06, 0.0, 0.0002071857452392578
ORDERED, 10000, 1.1920928955078125e-06, 2.1457672119140625e-06, 2.6226043701171875e-06, 3.0994415283203125e-06, 0.0, 0.0002429485321044922
ORDERED, 11000, 2.1457672119140625e-06, 3.814697265625e-06, 3.0994415283203125e-06, 4.0531158447265625e-06, 9.5367431640625e-07, 0.00026106834411621094
ORDERED, 12000, 1.9073486328125e-06, 4.0531158447265625e-06, 3.0994415283203125e-06, 3.814697265625e-06, 0.0, 0.0002911090850830078
ORDERED, 13000, 2.6226043701171875e-06, 4.291534423828125e-06, 4.0531158447265625e-06, 4.76837158203125e-06, 1.1920928955078125e-06, 0.0003368854522705078
ORDERED, 14000, 2.1457672119140625e-06, 5.0067901611328125e-06, 3.814697265625e-06, 5.0067901611328125e-06, 7.152557373046875e-07, 0.00036144256591796875
ORDERED, 15000, 2.86102294921875e-06, 5.0067901611328125e-06, 5.0067901611328125e-06, 5.9604644775390625e-06, 0.0, 0.00040078163146972656
ORDERED, 16000, 3.0994415283203125e-06, 5.9604644775390625e-06, 5.0067901611328125e-06, 5.9604644775390625e-06, 0.0, 0.0004601478576660156
ORDERED, 17000, 3.814697265625e-06, 8.106231689453125e-06, 6.9141387939453125e-06, 9.059906005859375e-06, 9.5367431640625e-07, 0.00038504600524902344
ORDERED, 18000, 3.814697265625e-06, 7.152557373046875e-06, 5.7220458984375e-06, 6.9141387939453125e-06, 1.1920928955078125e-06, 0.00040602684020996094
ORDERED, 19000, 4.291534423828125e-06, 6.9141387939453125e-06, 5.7220458984375e-06, 8.344650268554688e-06, 9.5367431640625e-07, 0.0005037784576416016
ORDERED, 20000, 4.76837158203125e-06, 1.0013580322265625e-05, 9.775161743164062e-06, 1.0013580322265625e-05, 9.5367431640625e-07, 0.0004930496215820312
ORDERED, 21000, 4.291534423828125e-06, 8.106231689453125e-06, 6.9141387939453125e-06, 7.867813110351562e-06, 1.1920928955078125e-06, 0.0004909038543701172
ORDERED, 22000, 5.0067901611328125e-06, 9.059906005859375e-06, 6.9141387939453125e-06, 8.821487426757812e-06, 1.1920928955078125e-06, 0.0005109310150146484
ORDERED, 23000, 4.0531158447265625e-06, 9.059906005859375e-06, 7.867813110351562e-06, 8.821487426757812e-06, 1.1920928955078125e-06, 0.0005199909210205078
